channel_name,channel_id,url,pull_date,join_date,total_views,subscriber_count
ChuChu TV Nursery Rhymes & Kids Songs,UCBnZ16ahKA2DZ_T5W0FPUXg,https://www.youtube.com/user/TheChuChuTV/,21-Aug-19,8-Feb-13,"18,306,619,220","25,777,606"
Ryan Toys Review | Videos for Kids,UChGJGhZ9SOOHvBB0Y4DOO_w,https://www.youtube.com/channel/UChGJGhZ9SOOHvBB0Y4DOO_w,27-Aug-19,16-Mar-15,"31,615,987,434","21,316,824"
Toys and Funny Kids Surprise Eggs,UCwjoPtSoNLAoX2sLBaKLYng,https://www.youtube.com/channel/UCwjoPtSoNLAoX2sLBaKLYng,27-Aug-19,24-Mar-13,"3,172,950,348","10,258,992"
Sandaroo Kids [DisneyCarToys] | Children's YouTube Channel,UCKjjmMqvuxNYw8c6knceexQ,https://www.youtube.com/channel/UCKjjmMqvuxNYw8c6knceexQ,27-Aug-19,16-Jun-12,"7,137,956,177","6,332,969"
Super Simple Songs | Songs for Kids,UCLsooMJoIpl_7ux2jvdPB-Q,https://www.youtube.com/channel/UCLsooMJoIpl_7ux2jvdPB-Q,27-Aug-19,8-Sep-06,"15,196,255,445","16,783,504"
Kids TV - Nursery Rhymes And Baby Songs,UC7Pq3Ko42YpkCB_Q4E981jw,https://www.youtube.com/channel/UC7Pq3Ko42YpkCB_Q4E981jw/videos,27-Aug-19,30-Aug-13,"5,771,387,955","13,470,478"
Sesame Street,UCoookXUzPciGrEZEXmh4Jjg,https://www.youtube.com/channel/UCoookXUzPciGrEZEXmh4Jjg,27-Aug-19,15-Jan-06,"8,029,567,106","8,427,606"
Billion Surprise Toys Songs | Kids Nursery Rhymes ,UCRx3mKNUdl8QE06nEug7p6Q,https://www.youtube.com/channel/UCRx3mKNUdl8QE06nEug7p6Q/videos,27-Aug-19,25-Oct-13,"6,385,359,644","24,665,341"
ChuChuTV Surprise Eggs Learning Videos,UCKcQ7Jo2VAGHiPMfDwzeRUw,https://www.youtube.com/channel/UCKcQ7Jo2VAGHiPMfDwzeRUw/videos,27-Aug-19,24-Mar-15,"2,781,054,550","5,312,563"
HobbyKidsTV,UCc-2P5tCezbxegb7gxp6EXg,https://www.youtube.com/channel/UCc-2P5tCezbxegb7gxp6EXg,27-Aug-19,21-May-13,"6,412,521,687","3,688,468"
Cocomelon - Nursery Rhymes,UCbCmjCuTUZos6Inko4u57UQ,https://www.youtube.com/channel/UCbCmjCuTUZos6Inko4u57UQ,27-Aug-19,1-Sep-06,"37,054,859,207","58,259,287"
Pinkfong! Kids' Songs & Stories,UCcdwLMPsaU2ezNSJU1nFoBQ,https://www.youtube.com/channel/UCcdwLMPsaU2ezNSJU1nFoBQ,27-Aug-19,13-Dec-11,"9,696,032,640","22,518,043"
LooLoo Kids - Nursery Rhymes and Children's Songs,UC4NALVCmcmL5ntpV0thoH6w,https://www.youtube.com/channel/UC4NALVCmcmL5ntpV0thoH6w,27-Aug-19,5-Aug-14,"7,084,846,895","17,628,158"
BabyBus - Kids Songs & Nursery Rhymes,UCpYye8D5fFMUPf9nSfgd4bA,https://www.youtube.com/channel/UCpYye8D5fFMUPf9nSfgd4bA,27-Aug-19,14-Jul-16,"4,307,580,559","6,576,414"
Jugnu Kids - Nursery Rhymes and Kids Songs,UCsCe7SNQckiRJ6y563SIupg,https://www.youtube.com/channel/UCsCe7SNQckiRJ6y563SIupg/videos,27-Aug-19,27-Jul-15,"2,042,111,060","5,300,842"
Mega Kids Tv,UCej8z9NGaA9Hdd8k5hueXKw,https://www.youtube.com/channel/UCej8z9NGaA9Hdd8k5hueXKw,27-Aug-19,3-Jul-14,"9,471,256","4,887,396"
Little Treehouse Nursery Rhymes and Kids Songs,UCpzYfBXbEHHQHU2e89jM9Tg,https://www.youtube.com/channel/UCpzYfBXbEHHQHU2e89jM9Tg/videos,27-Aug-19,9-Jun-15,"1,254,676,260","4,411,337"
Kids Channel - Cartoon Videos for Kids,UC3KknIJZXRygH2pZ6MDtGbg,https://www.youtube.com/channel/UC3KknIJZXRygH2pZ6MDtGbg,27-Aug-19,12-Jul-13,"3,085,852,898","4,342,093"
Kyoot,UCI8V0wOaigGdBpv5uk7DxxQ,https://www.youtube.com/channel/UCI8V0wOaigGdBpv5uk7DxxQ,27-Aug-19,3-Dec-12,"951,903,683","3,706,910"
Videogyan Kids Shows - Cartoon Animation For Kids,UCCc1DMB-AcOssKJ7KweLXBg,https://www.youtube.com/channel/UCCc1DMB-AcOssKJ7KweLXBg,27-Aug-19,25-Aug-16,"1,659,605,667","3,577,100"
HooplaKidz TV - Funny Cartoons For Children,UCMfZ_z0LUm805JOZLktl2QQ,https://www.youtube.com/channel/UCMfZ_z0LUm805JOZLktl2QQ,27-Aug-19,14-Mar-12,"1,388,229,124","3,289,827"
Power Kids TV,UCj-SWZSE0AmotGSQ3apROHw,https://www.youtube.com/channel/UCj-SWZSE0AmotGSQ3apROHw,27-Aug-19,6-Aug-14,"1,321,596,892","3,177,514"
Tic Tac Toy,UC8MR0wSTbzs5Yo7DgP04P-w,https://www.youtube.com/channel/UC8MR0wSTbzs5Yo7DgP04P-w/videos,27-Aug-19,29-Dec-15,"1,521,471,228","3,038,860"
Shemaroo Kids,UC9iBBFfq7L3ipvodSLrU8gQ,https://www.youtube.com/channel/UC9iBBFfq7L3ipvodSLrU8gQ,27-Aug-19,24-Jul-09,"1,263,960,746","2,763,466"
Busy Beavers - Kids Learn ABCs 123s & More,UCbt63GNsB5wet6NO3dmhssA,https://www.youtube.com/channel/UCbt63GNsB5wet6NO3dmhssA,27-Aug-19,28-Nov-07,"2,538,806,058","2,648,466"
Onyx Family,UC2VERcmMqi3vdtoQQ0ZP2sA,https://www.youtube.com/channel/UC2VERcmMqi3vdtoQQ0ZP2sA/videos,27-Aug-19,9-Nov-16,"875,054,128","2,405,772"
Dream English Kids,UC6LKuH7RPkvRmzS9-8URtqA,https://www.youtube.com/channel/UC6LKuH7RPkvRmzS9-8URtqA,27-Aug-19,23-Jan-09,"1,549,747,929","2,209,067"
WildBrain – Kids Videos,UCbmWOFTbZoDLWqG1rvFnJ0g,https://www.youtube.com/channel/UCbmWOFTbZoDLWqG1rvFnJ0g,27-Aug-19,20-Feb-13,"1,040,054,997","2,174,334"
BubblePOP Kids,UCR7aUGJhXG1UnQ5eTenUnGg,https://www.youtube.com/channel/UCR7aUGJhXG1UnQ5eTenUnGg,27-Aug-19,5-Feb-15,"1,321,740,578","2,143,515"
KIDS ZONE TV RHYMES,UCz0yhTJVJoN20-e5FKJhkeg,https://www.youtube.com/channel/UCz0yhTJVJoN20-e5FKJhkeg/videos,27-Aug-19,2-Apr-14,"134,588","2,119,405"
New Sky Kids,UC5mMf2NE17_MiTL94ihRN2w,https://www.youtube.com/channel/UC5mMf2NE17_MiTL94ihRN2w,27-Aug-19,23-Sep-14,"1,501,481,865","2,003,031"
Kids Babybus Gameplay,UCUJz3Kx_UkivcPzdAmcFAPg,https://www.youtube.com/channel/UCUJz3Kx_UkivcPzdAmcFAPg/videos,27-Aug-19,20-Mar-12,"938,773,388","1,740,434"
Cartooning 4 Kids | How to Draw,UC-biucJWhM8HwjsQ96uoIUw,https://www.youtube.com/channel/UC-biucJWhM8HwjsQ96uoIUw,27-Aug-19,2-Jun-14,"337,987,249","1,641,833"
The Kids Club - Children's Music,UC_pZxiIq8BRJwG55Wt83WOw,https://www.youtube.com/channel/UC_pZxiIq8BRJwG55Wt83WOw,27-Aug-19,24-Jul-13,"265,566,023","1,551,458"
Fun Kids Planet,UCVHO-W63u8RrXa6BAHxfLtQ,https://www.youtube.com/channel/UCVHO-W63u8RrXa6BAHxfLtQ/videos,27-Aug-19,30-Jul-16,"822,915,912","1,435,598"
kids kahaniya hindi moral stories,UCHSnzMeCGtVOjenB1Grnn5Q,https://www.youtube.com/channel/UCHSnzMeCGtVOjenB1Grnn5Q/videos,27-Aug-19,30-Sep-15,"1,046,455","1,397,926"
Cupcake Kids Club,UCTRNV3t2jxbkZgBjhyDv8UQ,https://www.youtube.com/channel/UCTRNV3t2jxbkZgBjhyDv8UQ/videos,27-Aug-19,15-Apr-16,"465,269,249","1,271,299"
It's AumSum Time,UCobgOt3poNKlml3Y5TnVU8Q,https://www.youtube.com/channel/UCobgOt3poNKlml3Y5TnVU8Q,27-Aug-19,24-Nov-14,"210,732,701","1,256,608"
T-Series Kids Hut,UChz5aEi3dfrDVC8-YJsMUDA,https://www.youtube.com/channel/UChz5aEi3dfrDVC8-YJsMUDA,28-Aug-19,24-Jan-14,"460,799,716","1,204,644"
Debbie Doo Kids TV,UCMyyXCurk6jXXOWt2eKyCgg,https://www.youtube.com/channel/UCMyyXCurk6jXXOWt2eKyCgg,28-Aug-19,1-Aug-11,"875,712,419","1,159,848"
FitDance Kids & Teen,UC2VjS4B4YBTH00TE-SMD_aw,https://www.youtube.com/channel/UC2VjS4B4YBTH00TE-SMD_aw,28-Aug-19,13-Jul-15,"151,393,964","1,024,121"
DuckDuck Kids TV,UCpQfF_qehNal4D7KpakObuA,https://www.youtube.com/channel/UCpQfF_qehNal4D7KpakObuA,28-Aug-19,30-Aug-16,"463,919,395","786,762"
Yo Gabba Gabba! Official,UCxezak0GpjlCenFGbJ2mpog,https://www.youtube.com/channel/UCxezak0GpjlCenFGbJ2mpog,28-Aug-19,17-Oct-06,"1,007,372,135","690,251"
MagicBox English,UCpbG0QvrvdpBAegtY_ebeEw,https://www.youtube.com/channel/UCpbG0QvrvdpBAegtY_ebeEw,28-Aug-19,2-Jan-12,"379,800,031","662,904"
ChuChuTV Bedtime Stories & Moral Stories for Kids,UCAwIKJ84zBsiuuy9DVR13mA,https://www.youtube.com/channel/UCAwIKJ84zBsiuuy9DVR13mA/videos,28-Aug-19,19-Nov-16,"301,467,163","622,978"
Kids Learning Tube,UC7EFWpvc1wYuUwrtZ_BLi9A,https://www.youtube.com/channel/UC7EFWpvc1wYuUwrtZ_BLi9A/videos,28-Aug-19,26-Jan-15,"367,985,240","525,635"
The GiggleBellies® - FUN videos for Kids!,UCotX63w9fF1eTCjda7Ux3Rw,https://www.youtube.com/channel/UCotX63w9fF1eTCjda7Ux3Rw,28-Aug-19,25-Nov-09,"669,309,406","510,957"
Kids Play Time - Nursery Rhymes and Kids Songs,UCyXWYhbJomJcTUg98MR5PFA,https://www.youtube.com/channel/UCyXWYhbJomJcTUg98MR5PFA,28-Aug-19,1-Oct-13,"327,663,324","506,670"
Baby Einstein,UCtBOJ9bEAoMOY9keGK6p2hQ,https://www.youtube.com/channel/UCtBOJ9bEAoMOY9keGK6p2hQ,28-Aug-19,9-Jun-06,"277,729,024","489,491"
Cosmic Kids Yoga,UC5uIZ2KOZZeQDQo_Gsi_qbQ,https://www.youtube.com/channel/UC5uIZ2KOZZeQDQo_Gsi_qbQ,28-Aug-19,12-Apr-12,"86,187,987","346,231"
Two Kids TV,UCDHU0rh47wAgRbI9iwVmq8g,https://www.youtube.com/channel/UCDHU0rh47wAgRbI9iwVmq8g/videos,28-Aug-19,16-Jun-14,"150,495,146","321,667"
WonderBalls - Official Channel,UC0l7SdYHH6WAmXECumlKSkg,https://www.youtube.com/channel/UC0l7SdYHH6WAmXECumlKSkg,28-Aug-19,25-Dec-13,"124,729,629","300,353"
PBS KIDS,UCrNnk0wFBnCS1awGjq_ijGQ,https://www.youtube.com/channel/UCrNnk0wFBnCS1awGjq_ijGQ,28-Aug-19,2-Oct-14,"888,226,649","750,436"
Nickelodeon,UC5M_h2S8Ldoc9M6f7B-_m6A,https://www.youtube.com/channel/UC5M_h2S8Ldoc9M6f7B-_m6A,28-Aug-19,10-Oct-05,"3,633,905,095","6,399,054"
SpongeBob SquarePants Official,UCx27Pkk8plpiosF14qXq-VA,https://www.youtube.com/channel/UCx27Pkk8plpiosF14qXq-VA,28-Aug-19,15-Jan-19,"551,714,134","1,040,902"
Nick Jr,UCUe6ZpY6TJ0no8jI4l2iLxw,https://www.youtube.com/channel/UCUe6ZpY6TJ0no8jI4l2iLxw,28-Aug-19,27-Sep-12,"6,824,340,521","8,377,352"
Cartoon Network,UCMsgXPD3wzzt8RxHJmXH7hQ,https://www.youtube.com/channel/UCMsgXPD3wzzt8RxHJmXH7hQ,28-Aug-19,28-Feb-06,"4,878,291,811","5,684,443"
Adventure Time,UCFuU-5B1eKAWaTeLUu3JuyA,https://www.youtube.com/channel/UCFuU-5B1eKAWaTeLUu3JuyA,28-Aug-19,3-Nov-16,"192,365,357","302,732"
The Amazing World of Gumball,UCoBpC9J2EcbAMprw7YjC93A,https://www.youtube.com/channel/UCoBpC9J2EcbAMprw7YjC93A,28-Aug-19,4-Apr-11,"1,073,149,633","1,369,491"
Ben 10,UCoWgc1mqe-bcfb_lem7EyOg,https://www.youtube.com/channel/UCoWgc1mqe-bcfb_lem7EyOg,28-Aug-19,19-Jan-17,"634,597,446","1,232,753"
DC Super Hero Girls,UCRdVJ9XqHCb6BqApCIO_TYg,https://www.youtube.com/channel/UCRdVJ9XqHCb6BqApCIO_TYg,28-Aug-19,27-Apr-15,"605,439,840","864,329"
The Powerpuff Girls,UCJIVZeRF_7nHFQnPPAW4cdA,https://www.youtube.com/channel/UCJIVZeRF_7nHFQnPPAW4cdA,28-Aug-19,3-Nov-16,"98,356,069","99,417"
Steven Universe,UC5yaRAqKKYYApdr326HQnsg,https://www.youtube.com/channel/UC5yaRAqKKYYApdr326HQnsg,28-Aug-19,30-Jun-17,"325,920,453","506,115"
DC Kids,UCyu8StPfZWapR6rfW_JgqcA,https://www.youtube.com/channel/UCyu8StPfZWapR6rfW_JgqcA,28-Aug-19,12-Mar-15,"1,984,430,877","2,461,940"
WB Kids,UC9trsD1jCTXXtN3xIOIU8gg,https://www.youtube.com/channel/UC9trsD1jCTXXtN3xIOIU8gg,28-Aug-19,31-Mar-15,"1,824,343,758","6,257,279"
Disney Channel,UCw7SNYrYei7F5ttQO3o-rpA,https://www.youtube.com/channel/UCw7SNYrYei7F5ttQO3o-rpA,28-Aug-19,19-Feb-06,"1,250,280,143","3,347,650"
Disney Junior,UCNcdbMyA59zE-Vk668bKWOg,https://www.youtube.com/channel/UCNcdbMyA59zE-Vk668bKWOg,28-Aug-19,21-Apr-08,"3,516,430,730","4,781,318"
"BabyFirst Learn Colors, ABCs, Rhymes & More",UCmJ6eP-7_6gqm8moQukzd4A,https://www.youtube.com/channel/UCmJ6eP-7_6gqm8moQukzd4A,28-Aug-19,30-Apr-07,"993,838,546","1,387,701"
BabyTV,UCGxnmQJquvQwlV_ICDfAKNA,https://www.youtube.com/channel/UCGxnmQJquvQwlV_ICDfAKNA,28-Aug-19,11-Feb-08,"879,200,996","1,319,413"
